# KurdNet (Kurdish WordNet)	ckb	https://github.com/sinaahmadi/kurdnet	CC BY SA 4.0
00033599-v	ckb:lemma	سەیرکردن
00033599-v	ckb:lemma	قەڵافەت
00033599-v	ckb:lemma	لێگەڕان
00033599-v	ckb:lemma	وادەرکەوتن
00033599-v	ckb:lemma	چاولێکردن
00033599-v	ckb:lemma	ڕوانین
00033599-v	ckb:lemma	ڕوخسار
00034213-n	ckb:def	0	بەو پڕۆسە یان دۆخە دەگوترێ کە پتر لەوەی بە هەڵسەنگاندن و توێژینەوە بناسدرێ، بەپێی هەستەکانیەوە دێتە ناسین.
00034479-n	ckb:def	0	کردەوەیەک.
00034479-n	ckb:lemma	شت
00034574-n	ckb:def	0	کردارێکی لەبەردڵان.
00035189-n	ckb:def	0	ئەو پرۆسەیە کە تێیدا کارێک بە کۆتایی دەگا.
00035758-v	ckb:def	0	خاوێن کردنی ئەندامێک یان جەستەی کەسێک بەتایبەت لە ڕێگای شووشتنەوە.
00036362-v	ckb:def	0	شووشتن(جەستەی کەسێک) بە سابوون و ئاوەوە.
00036362-v	ckb:lemma	شوشتن
00036362-v	ckb:lemma	شۆردن
00036362-v	ckb:lemma	ڕاماڵین
00036762-n	ckb:def	0	دەستکەوتێکی بەرچاو.
00037396-n	ckb:def	0	ئەوەی لە کاردا دەکرێ(بۆ دانانی جیاوازی لە نێوان وتە و کردەوەدا زۆرتر بەکاردەهێندرێ).
00037396-n	ckb:lemma	کار
00037396-n	ckb:lemma	کردار
00037396-n	ckb:lemma	کردەوە
00038262-n	ckb:def	0	دۆخی کردارێک.
00038262-n	ckb:lemma	ئاراستە
00038262-n	ckb:lemma	ئاست
00038262-n	ckb:lemma	بوار
00038262-n	ckb:lemma	خول
00038262-n	ckb:lemma	شوێنی یاری گۆڵف
00038262-n	ckb:lemma	ژەم
00038262-n	ckb:lemma	کۆرس
00039021-n	ckb:def	0	ئاکارێک کە دوولایەنە بێ  یان لە وڵامی کردەوەیەکی دیکەدا ئەنجام بدرێ؛ کارلێک کردن.
00039297-n	ckb:def	0	کارلێکەریی نزیک.
00039297-n	ckb:lemma	پەیوەندی
00040353-v	ckb:def	0	سەرنجی زۆر دان بە ڕواڵەتی خۆ.
00040353-v	ckb:lemma	زاوا
00040928-v	ckb:def	0	بەکارهێنانی جوانکاری یان سووراوسپیاو بۆ جوان نواندنی دەموچاوی کەسێک.
00041468-n	ckb:def	0	بەکارهێنانی لێزانانەی شمشێر(یان هەر ئامرازێکی دیکەی شەڕ) بۆ گەمە و نواندنی کارامەیی.
00041468-n	ckb:lemma	شانۆگەری
00041468-n	ckb:lemma	لێدان
00041468-n	ckb:lemma	ڕابواردن
00041468-n	ckb:lemma	ژەنین
00041468-n	ckb:lemma	گەمە
00041468-n	ckb:lemma	گەمە کردن
00041468-n	ckb:lemma	یاری
00041468-n	ckb:lemma	یاری کردن
00041899-n	ckb:def	0	کراداری بە دەست هێنانی شتێک.
00042311-n	ckb:def	0	ئەو کردارەیە کە دەبێتە هۆی ڕوودانی شتێک.
00042757-n	ckb:def	0	کرداری چوون.
00042757-n	ckb:lemma	دەرچوون
00042757-n	ckb:lemma	ڕۆیشتن
00042757-n	ckb:lemma	کۆچ
00043195-n	ckb:def	0	زانین بە شتێک.
00043609-n	ckb:def	0	کردارێک یان ئامێرێکە کە دەتوانێ ببێتە هۆی لەکۆل کردنەوە شتێک.
00043902-n	ckb:def	0	(بەیسباڵ)وێکەوتنێکی سەرکەوتوو لە کێبەرکێیەکی وەرزشیدا(بە تایبەت لە بەیسباڵدا).
00043902-n	ckb:lemma	زەبر
00043902-n	ckb:lemma	سەرکەوتن
00043902-n	ckb:lemma	سەرکەوتوو
00043902-n	ckb:lemma	فیلم یا ئاهەنگی زۆر سەرکەوتوو
00043902-n	ckb:lemma	لێدان
00043902-n	ckb:lemma	پێکان
00044150-n	ckb:def	0	ئەو کردارەیە کە تێیدا سۆنگەگەلێکی شیاو بۆ قەداندنی کارێک دابین دەکرێ؛ کردنە ڕاست.
00045250-n	ckb:def	0	کاروڕەوتی وە پێش خستن.
00045817-v	ckb:def	0	دابەزینی کێش.
00045907-n	ckb:def	0	کارورەوتی وەدەست هێنانەوە یان وە چەنگ خستنەوەی شتێکی ونکراو( یان خەریکەو ونبوون).
00046151-v	ckb:def	0	زۆرکردنەوە(ی کێشی لەش).
00046151-v	ckb:lemma	دەسکەوت
00046151-v	ckb:lemma	سوود
00046151-v	ckb:lemma	کەڵک
00046177-n	ckb:def	0	رێپێنەدراوانە بەجێ هێشتنی ئەو جێگایە کە دەبا لێی بای.
00046344-n	ckb:def	0	لێهاتوویەکی سەرسووڕهێنەر یان لەبڕوابەدەر یان حەستەم؛ زۆرتر بۆ ڕاکێشانی سەرنج دەکرێ.
00046522-n	ckb:def	0	کارورەوتی لە کن یەک دانانی دوو شت بێ ئەوەی مەودایەکیان لە نێواندا هەبێ.
00046522-n	ckb:lemma	بەرکەوتن
00046522-n	ckb:lemma	تلانن
00046522-n	ckb:lemma	دەست ساوین
00046522-n	ckb:lemma	دەست لێدان
00046522-n	ckb:lemma	دەست پێداهێنان
00046522-n	ckb:lemma	دەست ڕێخستن
00046522-n	ckb:lemma	ساوان
00046522-n	ckb:lemma	لێک سوون
00046522-n	ckb:lemma	لێک کەوتن
00046534-v	ckb:def	0	لە بەر کردنی شمەک.
00047317-v	ckb:def	0	لەپەستا دە بەر کردنی جلوبەرگ بۆ هەڵسەنگاندنی جوانی و پێکەوتنیان.
00048225-n	ckb:def	0	قەداندنی مەبەستێک.
00048374-n	ckb:def	0	کارورەوتی گەیشتن بە شوێنێکی دیاریکراو.
00048374-n	ckb:lemma	هاتن
00048374-n	ckb:lemma	هاتوو
00048374-n	ckb:lemma	گەیشتن
00048374-n	ckb:lemma	گەیشتوو
00048828-n	ckb:def	0	دەرکەوتنێک کە دواخراوە(بە تایبەت بۆ شتێکی گرینگ).
00049003-n	ckb:def	0	کارورەوتی چوونە ژوورەوە.
00050037-n	ckb:def	0	کارورەوتی تۆمارکردن.
00050037-n	ckb:lemma	تۆمارکردن
00050652-v	ckb:def	0	لە بەر کەسێک کردنی شمەک.
00051192-n	ckb:def	0	چوونەوە یان هاتنەوە بۆ ماڵ.
00052548-v	ckb:def	0	تێکردنی ئاوی نێر لە جەستەی مێدا.
00053097-n	ckb:def	0	کارورەوتی بەڕێزانە بەجێهێشتن.
00053159-v	ckb:def	0	زک پڕکردن.
00055142-v	ckb:def	0	بە خاوەنی زارووکە یان بێچوو بوون.
00056087-n	ckb:def	0	کۆچکردن لە شوێنێکەوە(بەتایبەت کۆچکردن لە زێدەوە بۆ نیشتەجێبوون لە وڵاتێکی دیکەدا).
00056930-v	ckb:def	0	بە دنیا هێنان(ی تازەزایێندراوێک).
00058519-n	ckb:def	0	کاروڕەوتی چوونە دەرەوە.
00058519-n	ckb:lemma	دەرچە
00058519-n	ckb:lemma	ڕێگەی چوونەدەرەوە
00058743-n	ckb:def	0	کارورەوتی هەڵاتنی فیزیکی.
00060833-v	ckb:def	0	لێکردنەوەی هێلکەکانی چوارپێیەکی نێر.
00061290-n	ckb:def	0	کاروڕەوتی ناردنی شتێک.
00061290-n	ckb:lemma	ناردن
00061290-n	ckb:lemma	ڕەوانەکردن
00061595-v	ckb:def	0	نەزۆک کردن.
00062806-n	ckb:def	0	کاروڕەوتی بەدەست هێنانی ئامانجێک.
00063014-n	ckb:def	0	دەستکەوتێکی یەکجار بەرز؛ چاترین(یان خراپترین) لێهاتوویییەک کە لە مێژووی شتێکدا بە دەست هاتووە(بە تایبەت لە وەرزشدا).
00063014-n	ckb:lemma	تۆمارکردن
00063291-v	ckb:def	0	کاردانەوەیەکی هەستی لە بەرانبەر دۆخێکی چاوەڕواننەکراوی تووڕەیی و پەرۆشیدا.
00063652-n	ckb:def	0	دەستکەوتێک کە سەرکەوتوو بێ.
00063652-n	ckb:lemma	دەرچوون
00063652-n	ckb:lemma	سەرکەوتن
00064095-v	ckb:def	0	سووکنایی پێدان بە لەش بۆ ڕزگاری لە ئێش.
00064504-n	ckb:def	0	 سەرکەوتوویییەکی بەرچاو.
00064643-v	ckb:def	0	ئازار یان ئێش بە کەسێک گەیاندن.
00064643-v	ckb:lemma	برین
00064643-v	ckb:lemma	بریندار
00064643-v	ckb:lemma	زام
00064643-v	ckb:lemma	زامدار
00064889-v	ckb:def	0	بوونە هۆی هەستپێکردنی ناساغی و ئازار.
00065070-v	ckb:def	0	هەست بە ئێش کردن یان بەئێش بوون.
